Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
garden\garden_r1an.bmp, garden_r1an.png, , ,99.4140625
garden\garden_r1ar.bmp, garden_r1a.png, , ,100
garden\garden_r1b.bmp, garden_r1af.png, , ,100
garden\garden_r1bn.bmp, garden_r1an.png, , ,99.4140625
garden\garden_r1br.bmp, garden_r1a.png, , ,100
garden\garden_r1c.bmp, garden_r1af.png, , ,100
garden\garden_r1cn.bmp, garden_r1an.png, , ,99.4140625
garden\garden_r1cr.bmp, garden_r1a.png, , ,100
garden\garden_r1d.bmp, garden_r1df.png, , ,100
garden\garden_r1dn.bmp, garden_r1dn.png, , ,99.8046875
garden\garden_r1dr.bmp, garden_r1d.png, , ,100
garden\garden_se1a.bmp, garden_seaia.png, , ,99.609375
garden\garden_se1b.bmp, garden_se1b.png, , ,99.609375
garden\garden_se1c.bmp, garden_se4a.png, , ,100
garden\garden_se2a.bmp, garden_se2b.png, , ,99.8046875
garden\garden_se2b.bmp, garden_se2b.png, , ,99.8046875
garden\garden_se2c.bmp, garden_se2b.png, , ,99.8046875
garden\garden_se3a.bmp, garden_se4a.png, , ,100
garden\rose_1a.bmp, rose_1af.png, , ,99.8046875
garden\rose_1an.bmp, rose_1ar.png, , ,99.609375
garden\rose_1ar.bmp, rose_1a.png, , ,99.8046875
garden\rose_1b.bmp, rose_1cf.png, , ,99.8046875
garden\rose_1bn.bmp, rose_1cn2.png, , ,100
garden\rose_1br.bmp, rose_1c.png, , ,99.8046875
garden\rose_1c.bmp, rose_1cf.png, , ,99.8046875
garden\rose_1cn.bmp, rose_1cn2.png, , ,100
garden\rose_1cp.bmp, rose_1cp.png, , ,100
garden\rose_1d.bmp, rose_1ef.png, , ,99.70703125
garden\rose_1dn.bmp, rose_1er.png, , ,99.8046875
garden\rose_1dp.bmp, rose_1ep.png, , ,99.8046875
garden\rose_1e.bmp, rose_1ef.png, , ,99.70703125
garden\rose_1en.bmp, rose_1en2.png, , ,99.21875
garden\rose_1ep.bmp, rose_1ep.png, , ,99.8046875
garden\rose_2a.bmp, Special Case,not_used, rose_2an.png,0
garden\rose_2an.bmp, rose_2an.png, , ,99.8046875
garden\rose_2ap.bmp, rose_2ap.png, , ,99.4140625
garden\rose_2b.bmp, Special Case,not_used, rose_2bn.png,0
garden\rose_2bn.bmp, rose_2bn.png, , ,99.8046875
garden\rose_2bp.bmp, rose_2bp.png, , ,100
garden\rose_2c.bmp, Special Case,not_used, rose_1cf.png,0
garden\rose_2cn.bmp, rose_2an.png, , ,99.8046875
garden\rose_2cp.bmp, rose_2ap.png, , ,99.4140625
garden\rose_3a.bmp, Special Case,not_used, rose_3an.png,0
garden\rose_3an.bmp, rose_3an.png, , ,100
garden\rose_3ap.bmp, rose_3ap.png, , ,99.8046875
garden\rose_3b.bmp, Special Case,not_used, rose_3an.png,0
garden\rose_3bn.bmp, rose_3an.png, , ,100
garden\rose_3bp.bmp, rose_3ap.png, , ,99.8046875
garden\rose_3c.bmp, Special Case,not_used, rose_3an.png,0
garden\rose_3cn.bmp, rose_3an.png, , ,100
garden\rose_3cp.bmp, rose_3ap.png, , ,99.8046875
garden\rose_g1a.bmp, rose_g1af.png, , ,99.609375
garden\rose_g1an.bmp, rose_g1ar.png, , ,99.4140625
garden\rose_g1ar.bmp, rose_g1a.png, , ,99.4140625
